title,text,label
Government launches new education policy,The government has introduced a new policy to improve digital education across rural areas,REAL
Scientists discover water on Mars,New research confirms presence of frozen water beneath the Martian surface,REAL
Stock market reaches record high,Investors celebrate as markets hit an all time high driven by tech stocks,REAL
Local man wins national award,A teacher from a small town receives national recognition for innovation in teaching,REAL
New species discovered in Amazon,Researchers have identified a previously unknown species of frog in the Amazon rainforest,REAL
City introduces electric buses,The city transport department has launched eco friendly electric buses to reduce pollution,REAL
Fake cure for cancer goes viral,A viral post claims drinking hot water cures cancer which experts say is false,FAKE
Aliens landed in India yesterday,Social media posts falsely claim aliens visited a village which authorities deny,FAKE
Government bans all mobile phones,A fake message is circulating saying all mobile phones will be banned from next month,FAKE
Celebrity claims earth is flat,A celebrity video falsely claims that earth is flat without scientific evidence,FAKE
Miracle herb cures all diseases,Posts online exaggerate benefits of a herb claiming it cures all diseases instantly,FAKE
Breaking news of zombie outbreak,Fake reports spread panic about a zombie outbreak in multiple cities,FAKE
NASA confirms sun will not rise tomorrow,False news claims a cosmic event will stop sunrise which scientists deny,FAKE
New tax reforms announced,Finance ministry announces changes in tax structure to boost economy,REAL
University develops AI tool,A university research team builds an AI tool to assist visually impaired students,REAL
Doctors warn against fake medicines,Health officials issue warning about counterfeit drugs in the market,REAL
Viral video shows time travel,A manipulated video falsely claims to show a person traveling through time,FAKE
Man becomes invisible after experiment,A fake story spreads claiming a man turned invisible after a lab test,FAKE
New metro line inaugurated,City officials open a new metro line to improve urban transport,REAL
SpaceX launches new rocket,The company successfully launches a rocket carrying satellites into orbit,REAL
